
App opened 2022-04-26 19:59:29.507298
App Closed 2022-04-26 19:59:31.059342
App opened at 2022-04-26 20:03:49.706273
App opened at 2022-04-26 20:04:12.498287
App opened at 2022-04-26 20:06:54.963730
App opened at 2022-04-26 20:07:21.336273
App opened at 2022-04-26 20:08:45.515301
App opened at 2022-04-26 20:09:13.232275
App Closed at 2022-04-26 20:12:23.499532
App opened at 2022-04-26 20:15:14.290377
App opened at 2022-04-27 12:34:08.851181
App Closed at 2022-04-27 12:42:15.402335
App opened at 2022-04-27 22:50:28.845803
App Closed at 2022-04-27 22:50:46.530095
App opened at 2022-04-27 22:51:09.924819
App Closed at 2022-04-27 22:51:09.932819
App opened at 2022-04-27 22:51:22.856804
App Closed at 2022-04-28 01:53:00.594088
App opened at 2022-04-28 08:36:23.580866
App Closed at 2022-04-28 08:36:55.289952
App opened at 2022-04-28 08:37:40.565274
App opened at 2022-04-28 08:39:29.017189
App opened at 2022-04-28 08:41:48.567535
App Closed at 2022-04-28 08:42:07.928020
App opened at 2022-04-28 08:42:15.171262
App Closed at 2022-04-28 08:43:52.873314
App opened at 2022-04-28 08:44:00.341441
App opened at 2022-04-28 08:45:34.035377
App opened at 2022-04-28 08:48:07.155982
App Closed at 2022-04-28 08:48:37.941734
App opened at 2022-04-28 08:48:50.121352
App Closed at 2022-04-28 08:49:22.812115
